References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.18,Emmotum nitens (Benth.) Miers,13.5,0.63,5,6.7,2.3,245,13,16.1,3.37,432
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.53,Ocotea spixiana (Nees) Mez,14.4,0.77,6,0.8,1.1,93,29,15.8,6.66,332
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.91,Sclerolobium paniculatum L.G.Silva & H.C.Lima,18.6,0.72,4.6,0.7,1,192,107,17.4,4.56,357
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",2.29,Siparuna guianensis Aubl.,22.5,0.89,14.7,15.5,2.9,201,548,23.1,8.45,1300
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.49,Tapirira guianensis Aubl.,18.4,1.22,7.1,21.2,3.7,127,24,20.8,5.83,236
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.97,Xylopia aromatica (Lam.) Mart.,19.8,0.73,6.7,12.6,2,241,152,18.9,7.02,412
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.57,Diospyros sericea A.DC.,18.6,0.78,7.7,4.6,3.3,163,23,18.1,4.99,311
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.69,Simarouba amara Aubl.,20.1,0.93,8.5,3.2,2,108,29,14.6,6.55,234
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",2,Bowdichia virgilioides Kunth,24.4,1.17,6.7,2.5,1.6,80,32,21.6,8.21,185
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.55,Maprounea guianensis Aubl.,20.4,1.03,5.7,1.9,1.9,86,51,18.9,7.38,238
"Ribeiro, J.F. (1983)",cerradao,"CPAC, EMBRAPA",1.62,Cordiera macrophylla (K.Schum.) Kuntze,16.5,0.9,9.8,14.1,3.3,120,33,15.1,5.59,249
