References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Monjolo,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,1.45,0.13,1.09,0.81,1.04,240,44,NA,NA,1215
"Silva, P.E.N. (1991)",mata,Monjolo,Dichapetalaceae,Tapura amazonica Poepp. & Endl.,1.58,0.05,0.62,0.53,1.03,380,39,NA,NA,1030
"Silva, P.E.N. (1991)",mata,Monjolo,Burseraceae,Protium unifoliolatum Engl.,2.11,0.1,0.83,0.59,0.55,140,235,NA,NA,1275
"Silva, P.E.N. (1991)",mata,Monjolo,Myristicaceae,Virola sebifera Aulb.,1.75,0.11,1.28,0.26,0.38,168,185,NA,NA,812
"Silva, P.E.N. (1991)",mata,Monjolo,Myristicaceae,Virola sebifera Aulb.,1.49,0.08,0.95,0.26,0.33,189,107,NA,NA,790
"Silva, P.E.N. (1991)",mata,Gama,Rubiaceae,Amaioua guianensis Aubl.,1.51,0.1,1.55,0.42,0.4,99,70,NA,NA,286
"Silva, P.E.N. (1991)",mata,Gama,Rubiaceae,Amaioua guianensis Aubl.,1.58,0.03,1.48,0.39,0.48,111,63,NA,NA,375
"Silva, P.E.N. (1991)",mata,Gama,Apocynaceae,Aspidosperma discolor A.DC.,1.97,0.04,2.51,0.5,0.89,107,369,NA,NA,366
"Silva, P.E.N. (1991)",mata,Gama,Anarcadiaceae,Astronium graveolens Jacq.,1.49,0.08,1.22,0.67,0.6,128,35,NA,NA,381
"Silva, P.E.N. (1991)",mata,Gama,Anarcadiaceae,Astronium graveolens Jacq.,1.32,0.03,1.13,0.78,0.85,10,37,NA,NA,546
"Silva, P.E.N. (1991)",mata,Gama,Meliaceae,Cabralea canjerana (Vell.) Mart.,1.18,0.1,0.65,0.55,0.44,295,52,NA,NA,776
"Silva, P.E.N. (1991)",mata,Gama,Meliaceae,Cabralea canjerana (Vell.) Mart.,1.4,0.03,2.58,0.68,1.01,122,88,NA,NA,405
"Silva, P.E.N. (1991)",mata,Gama,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,1.71,0.07,1.02,0.67,0.66,163,92,NA,NA,290
"Silva, P.E.N. (1991)",mata,Gama,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,1.64,0.02,0.79,0.56,0.54,164,52,NA,NA,1064
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Copaifera langsdorffii Desf.,0.79,0.11,1.06,0.57,0.77,120,268,NA,NA,231
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Copaifera langsdorffii Desf.,1.18,0.04,0.92,0.64,0.58,106,461,NA,NA,483
"Silva, P.E.N. (1991)",mata,Gama,Lauraceae,Cryptocarya aschersoniana Mez,1.66,0.14,1.4,0.21,0.22,118,206,NA,NA,795
"Silva, P.E.N. (1991)",mata,Gama,Lauraceae,Cryptocarya aschersoniana Mez,1.66,0.03,1.23,0.33,0.41,148,270,NA,NA,666
"Silva, P.E.N. (1991)",mata,Gama,Sapindaceae,Cupania vernalis Cambess.,1.57,0.14,1.91,0.28,0.68,157,239,NA,NA,723
"Silva, P.E.N. (1991)",mata,Gama,Sapindaceae,Cupania vernalis Cambess.,1.25,0.05,1.74,0.26,0.66,115,215,NA,NA,616
"Silva, P.E.N. (1991)",mata,Gama,Icacinaceae,Emmotum nitens (Benth.) Miers,1.58,0.06,0.72,0.34,0.69,156,23,NA,NA,517
"Silva, P.E.N. (1991)",mata,Gama,Icacinaceae,Emmotum nitens (Benth.) Miers,1.31,0.04,1.05,0.53,0.55,244,216,NA,NA,939
"Silva, P.E.N. (1991)",mata,Gama,Myrtaceae,Myrcia fenzliana O.Berg,1.71,0.04,0.77,0.5,0.05,160,282,NA,NA,429
"Silva, P.E.N. (1991)",mata,Gama,Myrtaceae,Myrcia fenzliana O.Berg,1.58,0.03,0.99,0.51,0.52,143,439,NA,NA,573
"Silva, P.E.N. (1991)",mata,Gama,Annonaceae,Guatteria sellowiana Schltdl.,1.58,0.09,0.88,0.66,0.86,178,223,NA,NA,581
"Silva, P.E.N. (1991)",mata,Gama,Annonaceae,Guatteria sellowiana Schltdl.,1.38,0.02,1.05,0.55,0.8,121,130,NA,NA,564
"Silva, P.E.N. (1991)",mata,Gama,Chrysobalanaceae,Hirtella glandulosa Spreng.,2.11,0.15,1.79,0.48,0.89,250,87,NA,NA,772
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Hymenaea stigonocarpa Hayne,1.75,0.15,1.46,0.41,0.58,108,229,NA,NA,636
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Hymenaea stigonocarpa Hayne,1.05,0.02,1.46,0.48,0.74,100,306,NA,NA,581
"Silva, P.E.N. (1991)",mata,Gama,Bignoniaceae,Jacaranda caroba (Vell.) DC.,1.32,0.07,1.05,0.24,0.32,254,94,NA,NA,541
"Silva, P.E.N. (1991)",mata,Gama,Cunoniaceae,Lamanonia ternata Vell.,1.84,0.04,0.57,0.75,0.99,129,221,NA,NA,756
"Silva, P.E.N. (1991)",mata,Gama,Cunoniaceae,Lamanonia ternata Vell.,1.21,0.02,1.08,0.74,0.82,97,150,NA,NA,789
"Silva, P.E.N. (1991)",mata,Gama,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.58,0.13,0.5,0.33,0.28,177,87,NA,NA,618
"Silva, P.E.N. (1991)",mata,Gama,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.31,0.01,0.54,0.3,0.32,135,75,NA,NA,459
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Machaerium acutifolium Vogel,1.84,0.12,0.63,0.53,0.87,197,241,NA,NA,446
"Silva, P.E.N. (1991)",mata,Gama,Leguminosae,Machaerium acutifolium Vogel,1.05,0.06,1.03,0.46,0.81,103,242,NA,NA,525
"Silva, P.E.N. (1991)",mata,Gama,Celastraceae,Maytenus pittieriana Steyerm.,1.97,0.12,2.15,0.22,0.47,142,301,NA,NA,469
"Silva, P.E.N. (1991)",mata,Gama,Celastraceae,Maytenus pittieriana Steyerm.,1.31,0.02,2.63,0.25,0.71,122,264,NA,NA,405
"Silva, P.E.N. (1991)",mata,Gama,Rutaceae,Metrodorea stipularis Mart.,1.31,0.16,2.82,0.38,0.8,115,230,NA,NA,759
"Silva, P.E.N. (1991)",mata,Gama,Rutaceae,Metrodorea stipularis Mart.,1.31,0.06,2.45,0.35,0.72,134,295,NA,NA,714
"Silva, P.E.N. (1991)",mata,Gama,Lauraceae,Nectandra lanceolata Nees & Mart.,1.05,0.12,0.87,0.55,0.33,100,197,NA,NA,1077
"Silva, P.E.N. (1991)",mata,Gama,Asteraceae,Piptocarpha macropoda (DC.) Baker,1.58,0.12,2.11,0.49,0.66,175,402,NA,NA,603
"Silva, P.E.N. (1991)",mata,Gama,Asteraceae,Piptocarpha macropoda (DC.) Baker,1.58,0.09,2.47,0.37,0.57,167,301,NA,NA,533
"Silva, P.E.N. (1991)",mata,Gama,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.71,0.11,1.37,0.43,0.39,123,307,NA,NA,539
"Silva, P.E.N. (1991)",mata,Gama,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.45,0.02,0.87,0.4,0.39,111,44,NA,NA,557
"Silva, P.E.N. (1991)",mata,Gama,Moraceae,Pseudolmedia laevigata Trécul,1.32,0.05,1.55,0.54,0.4,180,775,NA,NA,406
"Silva, P.E.N. (1991)",mata,Gama,Celastraceae,Salacia elliptica (Mart.) G.Don,2.1,0.1,1.7,0.11,0.5,143,48,NA,NA,457
"Silva, P.E.N. (1991)",mata,Gama,Symplocaceae,Symplocos mosenii Brand,1.66,0.11,1.01,0.5,0.17,124,205,NA,NA,38225
"Silva, P.E.N. (1991)",mata,Gama,Symplocaceae,Symplocos mosenii Brand,1.42,0.04,0.81,0.46,0.23,107,179,NA,NA,49215
"Silva, P.E.N. (1991)",mata,Gama,Anacardiaceae,Tapirira guianensis Aubl.,1.58,0.1,0.72,2.17,0.68,131,45,NA,NA,306
"Silva, P.E.N. (1991)",mata,Gama,Anacardiaceae,Tapirira guianensis Aubl.,1.84,0.05,0.86,1.36,0.68,91,36,NA,NA,350
"Silva, P.E.N. (1991)",mata,Gama,Burseraceae,Protium unifoliolatum Engl.,1.4,0.31,1.46,0.73,0.6,141,275,NA,NA,351
"Silva, P.E.N. (1991)",mata,Gama,Burseraceae,Protium unifoliolatum Engl.,2.37,0.38,2.28,0.51,0.54,134,230,NA,NA,419
"Silva, P.E.N. (1991)",mata,Gama,Myristicaceae,Virola sebifera Aubl.,0.92,0.11,1.45,0.14,0.47,209,219,NA,NA,923
"Silva, P.E.N. (1991)",mata,Gama,Myristicaceae,Virola sebifera Aubl.,NA,0.02,1.42,0.18,0.54,123,124,NA,NA,529
"Silva, P.E.N. (1991)",mata,Gama,Rutaceae,Zanthoxylum rhoifolium Lam.,1.32,0.15,3.34,0.45,0.75,171,211,NA,NA,318
"Silva, P.E.N. (1991)",mata,Gama,Rutaceae,Zanthoxylum rhoifolium Lam.,1.58,0.02,2.37,0.41,0.7,114,120,NA,NA,350
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Acacia glomerosa Benth.,30.4,1.63,8.38,8.68,1.99,140,76,17,9,80
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Arecaceae,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,18.5,1.29,13.52,7.75,1.98,236,57,21,3,78
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Albizia niopoides (Benth.) Burkart,35.1,1.64,12.96,13.31,1.93,139,58,14,9,84
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,31.4,1.22,6.97,17.63,2.04,130,30,17,7,68
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Apeiba tibourbou Aubl.,24.7,1.39,21.93,12.27,2.31,101,55,13,9,99
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Apocynaceae,Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier,20.4,1.06,8.95,26.79,2.35,145,26,14,15,157
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Anacardiaceae,Astronium fraxinifolium Schott,26.4,1.33,8.79,12.55,1.24,169,26,12,5,62
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malpighiaceae,Byrsonima basiloba A.Juss.,12.3,0.75,4.01,28.45,2.22,227,28,7,3,104
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Salicaceae,Casearia gossypiosperma Briq.,23.2,1.14,16.25,16.69,2.13,128,531,29,10,82
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Salicaceae,Casearia rupestris Eichler,24.5,1.61,59.54,18.86,2.5,108,105,16,6,207
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Senna silvestris (Vell.) H.S.Irwin & Barneby,28.2,1.56,10.52,16.67,2.11,122,38,18,12,61
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Caryocaraceae,Caryocar brasiliense A.St.-Hil.,21.7,1.06,6.04,9.83,2.89,256,38,14,3,119
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Chomelia cf. sericea,25.3,1.17,16.97,8.43,2.42,308,34,38,8,201
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Chomelia cf. sessilis,17.2,1,21.22,11.88,2.9,431,54,25,7,116
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Chomelia pohliana Müll.Arg.,23.3,1.25,10.58,23.23,2.08,270,35,20,13,181
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,17.5,0.95,4.98,23.33,2.03,181,23,9,2,136
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.,25.6,0.97,5.91,15.41,1.82,175,87,18,11,3650
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,17.2,0.75,19.08,44.18,2.61,145,122,38,6,134
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,Dilodendron bipinnatum Radlk.,20.9,1.51,8.47,12.12,1.74,278,53,14,7,169
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Dimorphandra mollis Benth.,24.3,1.09,3.92,6.18,2.37,140,32,13,9,37
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Ebenaceae,Diospyros hispida A.DC.,18.4,0.71,13.76,5.72,2.14,207,261,9,4,167
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Ebenaceae,Diospyros inconstans Jacq.,23.9,0.95,36.93,32.52,3.57,134,216,16,8,81
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Endlicheria paniculata (Spreng.) J.F.Macbr.,22.1,1.11,11.54,24.17,2.03,221,310,25,6,149
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Erythroxylaceae,Erythroxylum deciduum A.St.-Hil.,18.6,0.91,8.68,9.21,2.13,116,48,10,8,56
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Erythroxylaceae,Erythroxylum subracemosum Turcz.,21.1,1.15,10.48,7.71,1.74,92,50,13,9,140
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Eugenia florida DC.,15.8,0.94,9.13,13.19,1.73,177,25,24,7,59
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Eugenia patrisii Vahl,14.1,0.63,9.22,28.67,2.1,135,20,12,6,109
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Eugenia moraviana O.Berg,16.7,0.75,10.16,20.34,2.15,143,20,22,10,85
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Eugenia stricta Pancher ex Brongn. & Gris,11.1,0.71,9.75,55.58,4.68,78,16,14,3,77
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Nyctaginaceae,Guapira sp.,45.4,4.56,24.99,17.83,1.44,81,124,26,28,11
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Meliaceae,Guarea sp. ,20.1,0.55,2.12,8.77,1.66,115,82,8,2,478
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Inga sp.1,34.7,2.78,7.11,13.66,1.33,178,103,19,7,134
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Oleaceae,Chionanthus trichotomus (Vell.) P.S.Green,15.2,0.67,7.36,11.96,2.24,105,33,15,3,94
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Anacardiaceae,Lithraea molleoides (Vell.) Engl.,17.2,1.14,11.98,15.4,2.56,150,53,12,4,73
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Machaerium aculeatum Raddi,27.8,1.14,13.59,38.81,1.96,171,94,9,7,110
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Machaerium oblongifolium Vogel,39.1,1.15,9.56,13.41,1.72,215,96,19,8,90
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Machaerium stipitatum (DC.) Vogel,31.8,1.19,10.55,37.58,3.39,83,104,19,13,73
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,matayba sp.,23,1.56,31.45,9.46,2.2,147,247,28,6,119
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Celastraceae,Maytenus pittieriana Steyerm.,14.9,1.28,18.67,17.05,2.94,164,41,14,4,85
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Myrcia splendens (Sw.) DC.,14.9,0.88,5.37,8.33,2.36,270,120,8,4,92
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Nectandra cissiflora Nees,18.1,1.03,8.67,18.59,2.73,107,79,13,5,67
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Ocotea minarum (Nees & Mart.) Mez,17.2,0.75,8.17,10.15,2.19,140,124,15,9,157
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Ocotea pulchella (Nees & Mart.) Mez,18.8,0.91,10.42,7.65,1.8,179,128,14,7,79
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,27.7,1.15,6.54,33.05,1.96,92,100,12,11,89
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Platypodium elegans Vogel,16.3,1.58,10.03,12.61,2.76,145,169,16,10,73
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Pseudobombax tomentosum (Mart. & Zucc.) A.Robyns,15.4,2.14,10.68,15.28,4.05,510,47,18,6,67
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Psidium sartorianum (O.Berg) Nied.,21.2,0.91,57.26,31.41,2.12,190,58,12,7,91
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rhamnaceae,Rhamnidium elaeocarpum Reissek,23.1,1.19,17.44,47.76,1.34,120,26,7,5,179
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Styracaceae,Styrax camporum Pohl,17.5,0.81,5.61,11.84,1.88,173,106,15,14,137
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Symplocaceae,Symplocos platyphylla (Pohl) Benth.,19.3,0.88,5.46,10.62,2.65,128,58,13,9,1268
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Bignoniaceae,Tabebuia roseoalba (Ridl.) Sandwith,21.4,1.22,11.99,26.74,1.93,141,22,15,7,145
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Anacardiaceae,Tapirira guianensis Aubl.,14.7,0.91,5.32,39.39,2.05,86,22,8,3,136
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Combretaceae,Terminalia phaeocarpa Eichler,18.5,1.17,6.01,28.56,2.52,163,58,6,5,137
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Annonaceae,Xylopia aromatica (Lam.) Mart.,19.9,0.87,8.05,8.25,1.49,136,197,11,7,50
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Salicaceae,Xylosma sp.,12.2,0.81,11.36,20.61,1.46,166,116,35,5,216
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Opiliaceae,Agonandra brasiliensis Miers ex Benth.,38.7,2.22,57.08,32.91,2.83,125,130,26,21,131
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Cordiera sessilis (Vell.) Kuntze,13.8,0.83,12.01,22.91,2.18,81,30,4,3,75
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Apocynaceae,Aspidosperma cylindrocarpon Müll.Arg.,16.1,0.85,15.55,36.49,2.69,73,35,12,9,29
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Apocynaceae,Aspidosperma parvifolium A.DC.,34.1,1.11,32.81,16.55,3.25,108,51,14,8,133
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Apocynaceae,Aspidosperma subincanum Mart. ex A.DC.,25.6,1.39,18.23,29.96,3.32,167,56,17,9,30
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Bauhinia sp.,25.6,1.61,11.98,26.16,3.2,101,42,20,7,15
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Campomanesia velutina (Cambess.) O.Berg,20.4,0.91,10.16,12.12,3.03,228,133,11,5,87
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Salicaceae,Casearia sylvestris Sw.,22.7,0.88,37.57,17.66,2.38,191,384,28,6,66
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Annonaceae,Cardiopetalum calophyllum Schltdl.,25.1,1.31,7.55,12.89,4.4,114,25,12,5,33
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,24.7,1.15,12.04,59.47,4.98,160,100,12,11,133
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,13.7,0.61,6.16,13.41,2.13,184,29,5,4,87
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Polygonaceae,Coccoloba mollis Casar.,30.6,1.22,11.84,15.95,2.66,330,47,17,6,101
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Copaifera langsdorffii Desf.,19.9,1.01,6.57,12.99,1.95,194,452,36,7,89
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,Cupania vernalis Cambess.,20.2,1.36,17.71,6.64,2.36,216,598,30,7,94
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Sweetia fruticosa Spreng.,35.1,0.93,12.46,10.31,1.93,156,38,12,5,25
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Eriotheca candolleana (K.Schum.) A.Robyns,19.7,1.11,11.06,13.78,2.37,196,132,15,8,52
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Faramea occidentalis (L.) A.Rich.,14.7,0.65,4.27,9.29,2.37,137,183,15,12,2072
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Guazuma ulmifolia Lam.,20.6,1.01,12.74,26.92,2.3,149,52,14,6,74
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Guettarda viburnoides Cham. & Schltdl.,16.9,1.11,20.39,11.67,2.15,226,43,14,9,88
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Leguminosae,Hymenaea courbaril L.,21.5,1.11,7.32,13.07,2.04,161,356,23,11,49
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Malvaceae,Luehea paniculata Mart.,19.7,1.47,15.87,17.74,2.84,206,396,11,9,105
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Phyllanthaceae,Margaritaria nobilis L.f.,20.3,0.95,9.71,16.13,2.23,116,106,8,5,134
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapindaceae,matayba guianensis Aubl.,23.9,1.31,12.87,9.93,3.7,141,299,21,4,43
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myrtaceae,Myrcia tomentosa (Aubl.) DC.,16.9,0.88,7.97,9.51,1.79,171,69,15,11,104
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Lauraceae,Ocotea corymbosa (Meisn.) Mez,15.8,0.98,6.13,6.54,2.42,249,155,14,5,68
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Ochnaceae,Ouratea castaneifolia (DC.) Engl.,14.4,0.85,11.78,11.49,2.59,220,698,11,4,97
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapotaceae,Pouteria sp.,20.8,0.93,7.15,4.51,2.18,151,110,18,16,116
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Sapotaceae,Pouteria macrophylla (Lam.) Eyma,19.3,0.88,4.91,15.42,1.32,122,77,17,20,148
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,16.7,0.65,6.54,5.69,1.81,102,122,10,4,67
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Vochysiaceae,Qualea dichotoma (Mart.) Warm. ex Wille,18.9,0.85,5.78,7.99,1.92,203,37,11,4,933
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Primulaceae,Myrsine guianensis (Aubl.) Kuntze,22.3,1.11,16.05,12.57,1.05,94,25,15,3,54
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Clusiaceae,Garcinia brasiliensis Mart.,14.8,0.71,8.89,26.85,0.98,118,621,20,3,220
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Proteaceae,Roupala montana var. paraensis (Huber) K.S. Edwards,10.8,0.55,7.23,5.13,1.61,142,431,5,2,49
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Rubiaceae,Rudgea viburnoides (Cham.) Benth.,16.5,0.87,16.64,16.71,2.76,364,132,19,6,2002
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,NA,Sinira cf. viridifolia,22.1,1.11,15.44,24.69,2.36,119,116,107,6,137
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Combretaceae,Terminalia brasiliensis (Cambess. ex A. St.-Hil.) Eichler,19.1,1.11,6.66,17.45,1.9,142,178,16,6,80
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Myristicaceae,Virola sebifera Aubl.,16.1,0.81,7.94,8.08,2.19,209,790,14,5,164
"Araujo, G.M. (1992)",mata_semi_descidua,Panga,Vochysiaceae,Vochysia tucanorum Mart.,21.8,1.01,9.19,10.04,0.64,237,27,10,9,3459
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Euphorbiaceae,Actinostemon klotzschii (Didr.) Pax,27.1,0.91,5.18,9.49,2.62,154,835,24,7,96
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lamiaceae,Aegiphila sellowiana Cham.,38.2,1.58,8.44,5.68,2.81,148,36,17,16,110
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Albizia polycephala (Benth.) Killip,41.4,1.67,9.51,3.38,1.93,131,107,25,9,133
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Rubiaceae,Amaioua intermedia Mart. ex Schult. & Schult.f.,24.8,0.88,6.59,4.61,1.69,119,47,12,6,87
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Annonaceae,Annona cacans Warm.,33.3,1.44,5.56,7.47,2.11,179,32,15,11,90
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Apuleia leiocarpa (Vogel) J.F.Macbr.,22.1,1.01,7.01,3.38,1.24,113,69,13,6,182
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Apocynaceae,Aspidosperma discolor A.DC.,18.3,0.83,5.45,10.68,2.69,126,42,7,5,66
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Anacardiaceae,Astronium nelson-rosae Santin,21.5,1.01,6.04,9.42,2.53,211,33,8,8,126
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Malpighiaceae,Byrsonima laxiflora Griseb.,17.2,0.91,5.46,12.91,2.29,875,34,27,4,48
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Vochysiaceae,Callisthene major Mart.,19.9,0.85,4.29,6.62,2.07,210,77,11,9,1200
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Lecythidaceae,Cariniana estrellensis (Raddi) Kuntze,21.5,1.23,10.51,4.61,2.37,131,226,15,7,53
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Salicaceae,Casearia decandra Jacq.,28.1,1.22,7.96,6.51,2.62,127,883,15,10,36
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Salicaceae,Casearia grandiflora Cambess.,28.9,0.91,8.43,4.45,2.04,171,1420,20,5,46
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Leguminosae,Cassia ferruginea (Schrad.) DC.,23.1,1.19,5.57,9.55,2.65,114,199,25,6,56
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Meliaceae,Cedrela fissilis Vell.,22.8,1.33,5.03,12.65,2.87,141,45,20,8,87
"Araujo, G.M. (1992)",mata_semi_descidua, Glória,Moraceae,Maclura tinctoria (L.) D.Don ex Steud.,37.8,1.74,11.76,24.29,3.24,126,85,14,8,117
